Uni,Studenten insgesamt,Anzahl Masterstudenten,Anzahl Lehre durch Praktiker,Anzahl Lehre durch Praktiker (im Master),Unterstützung am Studienanfang,Abschlüsse in angemessener Zeit,Abschlüsse in angemessener Zeit (Master),Abschlüsse in kooperation mit der Praxis,Abschlüsse in kooperation mit der Praxis (Master),Veröffentlichungen pro Wissenschaftler,Forschungsgelder je Wissenschaftler,Promotionen pro Professor,Betreuung durch Lehrende,Unterstützung im Studium,Lehrangebot,Studienorganisation,"Prüfungen (Wiederholbarkeit, Termine, ...)",Wissenschaftsbezug,Angebot zur Berufsorientierung,Unterstützung Auslandsstudium,Räume,Bibliotheksausstattung,IT-Infrastruktur,Ausstattung der Arbeitsplätze,Allgemeine Studiensituation
Uni Rostock: 0.7388036405977666,860.0,170.0,50.0,50.0,1014.0,865.0,595.0,keine Angabe,keine Angabe,32.0,539.0,5.0,18.0,16.0,20.0,15.0,19.0,Ranggruppe nicht eindeutig zuweisbar,21.0,Ranggruppe nicht eindeutig zuweisbar,15.0,13.0,15.0,17.0,19.0
Uni des Saarlandes: 0.5893991690434272,1970.0,790.0,,,1314.0,534.0,392.0,,,54.0,2148.0,23.0,21.0,21.0,20.0,16.0,21.0,21.0,29.0,Ranggruppe nicht eindeutig zuweisbar,17.0,17.0,18.0,18.0,19.0
Uni Siegen: 0.6048198964362022,850.0,150.0,10.0,10.0,10.0,410.0,914.0,410.0,333.0,56.0,158.0,39.0,1056.0,17.0,20.0,22.0,21.0,17.0,21.0,25.0,25.0,15.0,22.0,20.0,22.0
Uni Stuttgart: 0.5964480535639239,1810.0,610.0,,,1214.0,390.0,333.0,,,46.0,1357.0,13.0,25.0,21.0,23.0,20.0,24.0,24.0,28.0,Ranggruppe nicht eindeutig zuweisbar,21.0,18.0,22.0,22.0,Ranggruppe nicht eindeutig zuweisbar
Uni Trier: 0.8918627998078444,260.0,90.0,0.0,0.0,814.0,10.0,10.0,0.0,0.0,42.0,199.0,4.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Uni Tübingen: 0.6514672050774846,2210.0,650.0,20.0,50.0,1114.0,706.0,478.0,39.0,306.0,25.0,721.0,10.0,20.0,19.0,21.0,17.0,20.0,19.0,27.0,20.0,21.0,17.0,20.0,19.0,19.0
Uni Ulm: 0.6623942505097689,1340.0,330.0,10.0,10.0,1314.0,481.0,380.0,190.0,193.0,40.0,447.0,6.0,20.0,19.0,20.0,16.0,17.0,21.0,23.0,22.0,18.0,17.0,17.0,17.0,19.0
Uni Weimar: 0.7359436416135994,330.0,220.0,0.0,0.0,1114.0,528.0,403.0,23.0,0.0,32.0,1170.0,4.0,22.0,Ranggruppe nicht eindeutig zuweisbar,28.0,19.0,23.0,15.0,15.0,15.0,Ranggruppe nicht eindeutig zuweisbar,15.0,Ranggruppe nicht eindeutig zuweisbar,15.0,29.0
Uni Würzburg: 0.5817863284644,1550.0,330.0,50.0,50.0,914.0,744.0,373.0,keine Angabe,keine Angabe,41.0,520.0,6.0,21.0,22.0,23.0,18.0,21.0,22.0,24.0,24.0,20.0,18.0,25.0,26.0,20.0
Uni Wuppertal: 0.8635756076222508,570.0,30.0,keine Angabe,keine Angabe,614.0,10.0,noch keine Absolventen,keine Angabe,keine Angabe,18.0,1006.0,10.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
